이름,가격,평점
휘슬락 호텔,"66,500",9.4
신라스테이 제주,"119,130",9.3
서머셋 제주신화월드,"293,550",9.1
호텔 브릿지 서귀포,"55,100",9.2
메종 글래드 제주,"107,540",9.5
제주 부영호텔&리조트,"110,770",9.5
신화관 제주신화월드 호텔앤리조트,"170,050",8.6
해비치 호텔&리조트,"229,900",9.6
제주 한림리조트,"85,500",10
호텔 리젠트마린,"76,000",9.5
파르나스 호텔 제주,"327,560",10
글로스터 호텔 제주,"64,600",9.4
브라운 스위트 제주,"58,330",8.9
롯데 시티호텔 제주,"131,670",9.7
서귀포 칼 호텔,"135,850",9.5
유탑유블레스호텔 제주함덕,"98,800",9.7
오션 스위츠 제주 호텔,"80,750",9.7
더 포 그레이스 리조트,"54,720",8.9
제주 항공우주 호텔,"71,250",8.7
파크 선샤인 제주,"80,750",9.1
코업시티호텔 하버뷰,"57,000",8.7
그랜드 조선 제주,"271,700",9.7
호텔 골든데이지 서귀포 오션,"49,400",9.2
더 베스트 제주 성산,"52,250",9.3
호텔 스카이파크 제주 1호점,"56,050",9.4
벤티모 호텔 앤 레지던스 제주,"75,050",10
히든 클리프 호텔 앤 네이쳐,"191,520",9.1
켄싱턴리조트 서귀포,"169,000",8.7
코업시티호텔 성산,"65,550",9.3
제주 마레보 리조트,"106,400",9.2
와이 리조트 제주,"125,400",9.1
라마다 프라자 제주,"133,000",9.6
아시아호텔 제주,"65,550",9.4
빠레브 호텔 제주,"72,200",9.2
씨오르 리조트(구 신성리조트),"87,780",9.5
소노벨 제주,"200,450",9.6
이스턴호텔 제주,"33,250",9
호텔 케니 서귀포,"28,975",9
메리어트관 제주신화월드 호텔앤리조트,"242,000",9
호텔 시리우스 제주,"85,595",9
캠퍼트리 호텔&리조트 제주,"161,500",9.4
플레이스 캠프 제주,"56,905",9.2
애월 스테이 인 제주,"65,550",9.6
호텔샬롬 제주,"61,750",9.5
산방산호텔,"75,050",10
스위트 호텔 제주,"167,200",9.2
스위트 메이 호텔 서귀포,"69,350",8.9
퍼스트70 호텔,"57,000",9.5
더큐브 리조트 제주,"73,150",8.4
제주푸른호텔( 구 체이슨 호텔),"52,250",10
타마라 호텔 제주,"27,550",9.4
한화리조트 제주,"110,200",8.8
탐라스테이 제주,"69,967",9.5
WE호텔 제주,"185,250",8.9
스타즈호텔 제주 로베로,"41,800",9.6
제주 팔레스 호텔,"57,000",9.7
담앤루리조트,"95,000",8
제주 노블피아 호텔,"65,550",8.8
제주 아름다운리조트,"57,000",9.4
더 그랜드 섬오름,"125,400",9.3
제주 유니 호텔,"105,611",8.5
제주 헬스케어타운,"199,500",9
제주 호텔 더 엠,"37,905",9.6
그라벨 호텔,"90,250",9.1
제주 센트럴 시티 호텔,"56,050",9.6
블루하와이리조트,"61,750",8.7
블루하와이호텔,"51,300",9
호텔 윈 스카이,"44,650",8.9
씨사이드 아덴 중문,"250,800",9.9
서귀포 제이에스(JS) 호텔,"59,090",8.8
제주 오리엔탈호텔,"83,600",9.4
제주 오션그랜드 호텔,"69,350",9.7
신신호텔 제주 월드컵,"35,815",8.4
신신호텔 제주 공항점,"49,998",9.5
베니키아 호텔 제주,"61,750",8.5
제주 블룸호텔,"72,200",10
엠제이리조트,"180,500",9.8
호텔난타 제주,"76,000",9
제주 오션팰리스,"52,250",8.2
아스타 호텔,"80,750",9.2
흰수염고래 리조트,"52,250",9.1
호텔스위트캐슬,"55,955",8.6
유어스 호텔,"57,855",9.2
신신호텔 제주 천지연,"33,526",8.6
베니키아 중문 호텔,"64,125",9.8
제주 엠스테이,"45,600",9.2
어반스테이 제주연동,"67,450",7
소노캄 제주,"186,200",9.2
제주 마린포트 리조트,"55,385",9.8
제주 샐리스 호텔,"70,300",8.4
로긴호텔(구 오슬로호텔),"43,700",8.8
제주 골드원 호텔&스위트,"236,550",9.5
제주 호텔 더 원,"66,500",8.4
그랜드메르 호텔 제주,"58,900",7.3
제주 디아일랜드 블루,"60,800",8.6
제주 브릭스 호텔,"83,600",9.3
탑스텐 빌라드애월,"85,500",9.2
까사로마 호텔 서귀포,"73,150",9.5
제주(애월) 마레보비치 호텔,"78,280",10
호텔 토스카나,"245,100",9.3
제주 담모라 리조트,"41,705",9.6
카이리조트 제주,"66,500",9.6
다인리조트 애월,"76,475",9
제주 벨룸 리조트,"237,500",10
제주 웨스턴그레이스 서귀포,"36,100",8.6
호텔 에어시티 제주,"79,800",9.3
엠버 시티 호텔,"59,850",10
신신호텔 제주 서귀포,"34,817",10
호텔 레오 제주,"80,750",9
다인오세아노호텔,"158,412",9.5
제주 라온 호텔&리조트,"47,500",8.4
서귀포 월드컵리조트,"66,500",9.3
풀빌라 소랑,"98,800",9.7
켄싱턴리조트 제주한림,"139,000",8.8
엠버호텔 제주,"54,150",9.3
돈내코힐 스파 리조트,"64,790",8.6
루체빌,"76,475",8.4
제주 늘송파크텔,"36,955",8.6
"호텔 휴식, 서귀포","42,750",9.7
제주 아모렉스 리조트,"52,250",8.8
제주 씨에스 호텔 앤 리조트,"376,200",10
제주 일레인 호텔,"82,251",7.5
서귀포 BK 호텔,"47,025",7.8
중문 보우힐리조트,"75,050",9.3
팜밸리 리조트,"97,128",9.2
호텔 케니 모슬포,"47,500",9
머큐어 앰배서더 제주,"188,100",10
